27.0363	7
28.1747	5
29.1574	7
26.242	13
28.5717	14
26.3942	15
26.0378	13
23.8343	13
23.7013	13
25.7662	15
27.5008	14
25.5708	11
27.253	14
26.0656	11
28.4765	13
28.4054	12
25.0127	15
28.1924	11
26.5142	12
25.3566	14
29.8569	12
29.3655	12
28.5394	11
26.3301	13
29.136	12
29.5688	12
28.8607	15
20.1871	13
23.3076	14
29.2462	12
28.4298	11
28.0667	15
25.819	11
28.2482	14
25.3475	13
27.9534	15
24.2384	14
26.025	12
26.6216	15
20.499	14
22.6408	12
23.0732	12
21.1759	11
26.0945	11
25.2382	14
23.6314	14
24.1069	11
23.187	15
21.2638	15
29.624	11
